Timestamp,DifferentialPressure,Pressure,Temperature,Volume,FlowTime
9/3/2019 9:00:00 PM,1277.8633,10.510249,21.750399,2083.1873,60
9/3/2019 10:00:00 PM,343.04312,10.726148,21.423399,1118.17,60
9/3/2019 11:00:00 PM,274.41275,10.624968,21.242579,841.4393,52.216667
9/4/2019 12:00:00 AM,234.05013,10.684687,21.256828,588.99695,39.9
9/4/2019 1:00:00 AM,275.52502,10.451722,19.67289,331.04874,20.366667
9/4/2019 2:00:00 AM,0,10.755997,18.863504,0,0
9/4/2019 3:00:00 AM,0,10.727332,16.6542,0,0
9/4/2019 4:00:00 AM,248.21758,10.449642,17.229467,198.85873,12.9
9/4/2019 5:00:00 AM,236.24103,10.518636,16.93806,183.7694,12.2
9/4/2019 6:00:00 AM,309.7766,10.437999,17.63538,361.4078,20.816668
9/4/2019 7:00:00 AM,1059.9323,10.461553,19.676474,1847.8954,60
9/4/2019 8:00:00 AM,1485.6151,10.465394,21.051031,2291.3782,60
9/4/2019 9:00:00 AM,1311.8784,10.276638,23.094065,2121.4768,60
9/4/2019 10:00:00 AM,1466.907,9.856202,24.047106,2197.7056,60
9/4/2019 11:00:00 AM,1534.6019,10.550524,24.906694,2322.1907,60
9/4/2019 12:00:00 PM,1441.8103,10.597505,25.631527,2256.309,60
9/4/2019 1:00:00 PM,895.9915,10.639273,26.676483,1709.307,60
9/4/2019 2:00:00 PM,592.294,10.678631,27.006748,1393.0118,60
9/4/2019 3:00:00 PM,1341.0674,10.545494,25.837038,2166.6494,60
9/4/2019 4:00:00 PM,1110.9875,10.809612,25.50464,1962.2971,60
9/4/2019 5:00:00 PM,795.9785,10.612077,25.456995,1635.2859,60
9/4/2019 6:00:00 PM,1459.2516,10.623691,23.886106,2279.7827,60
9/4/2019 7:00:00 PM,750.67957,10.66406,22.980204,1614.6814,60
9/4/2019 8:00:00 PM,1472.0897,10.347695,21.580156,2267.0154,60
9/4/2019 9:00:00 PM,1547.5088,10.570975,21.311697,2351.76,60
9/4/2019 10:00:00 PM,906.4945,10.722723,21.014917,1678.3735,59.466667
9/4/2019 11:00:00 PM,575.7533,10.55473,20.536407,1326.3126,59.133335
9/5/2019 12:00:00 AM,188.52501,10.729568,20.157087,215.90059,16.683332
9/5/2019 1:00:00 AM,254.70123,10.432457,18.440659,298.99405,19.766666
9/5/2019 2:00:00 AM,256.7209,10.446613,17.2296,199.2264,12.966666
9/5/2019 3:00:00 AM,0,10.534712,17.07245,0,0
9/5/2019 4:00:00 AM,0,10.526309,15.869494,0,0
9/5/2019 5:00:00 AM,266.71756,10.445833,16.252964,259.55045,16.35
9/5/2019 6:00:00 AM,295.4006,10.53013,17.272812,537.44604,31.766666
9/5/2019 7:00:00 AM,1484.9609,10.475954,19.551332,2294.942,60
9/5/2019 8:00:00 AM,953.7735,10.548809,20.155111,1779.9312,60
9/5/2019 9:00:00 AM,1129.229,10.522944,21.559175,1967.6888,60
9/5/2019 10:00:00 AM,1463.9225,10.737384,22.885355,2297.7812,60
9/5/2019 11:00:00 AM,1413.547,10.769156,23.803177,2260.1702,60
9/5/2019 12:00:00 PM,1366.5896,10.66549,24.53478,2201.6787,60
9/5/2019 1:00:00 PM,693.6761,10.8515215,25.879396,1498.8269,60
9/5/2019 2:00:00 PM,1209.0038,10.787253,25.859648,2049.2046,60
9/5/2019 3:00:00 PM,1126.0299,10.800293,25.851706,1957.3882,60
9/5/2019 4:00:00 PM,962.9027,10.836126,25.724672,1778.9434,60
9/5/2019 5:00:00 PM,1112.6211,10.810852,24.961035,1947.3635,60
9/5/2019 6:00:00 PM,1259.3159,11.363112,24.321665,2167.7979,60
9/5/2019 7:00:00 PM,814.26013,11.458275,22.813606,1687.3109,60
9/5/2019 8:00:00 PM,1426.6536,11.323059,21.959778,2337.3674,60
9/5/2019 9:00:00 PM,1438.1241,11.331033,21.818438,2348.1045,60
9/5/2019 10:00:00 PM,628.7474,10.763684,21.125895,1243.3673,53.866665
9/5/2019 11:00:00 PM,304.96204,9.213661,19.856438,891.45917,56
9/6/2019 12:00:00 AM,250.88657,9.205504,18.928768,450.40378,31.716667
9/6/2019 1:00:00 AM,532.81726,8.799576,18.423944,523.8752,27
9/6/2019 2:00:00 AM,0,9.00836,17.679195,0,0
9/6/2019 3:00:00 AM,273.3082,8.864114,16.757565,215.04503,14.55
9/6/2019 4:00:00 AM,0,9.025935,16.585423,0,0
9/6/2019 5:00:00 AM,268.12125,8.840666,17.300661,342.49454,23.583334
9/6/2019 6:00:00 AM,282.3372,9.953506,18.034998,636.5986,40.733334
9/6/2019 7:00:00 AM,1351.4146,10.13679,19.186775,2117.7073,60
9/6/2019 8:00:00 AM,885.30115,10.157632,20.161781,1665.4171,59.683334
9/6/2019 9:00:00 AM,1074.8799,10.381956,21.922352,1878.4506,60
9/6/2019 10:00:00 AM,1442.9639,10.7769785,23.483109,2285.2126,60
9/6/2019 11:00:00 AM,1418.958,10.654604,24.064684,2250.92,60
9/6/2019 12:00:00 PM,1075.7095,10.665703,24.612686,1888.4603,60
9/6/2019 1:00:00 PM,1029.5354,10.807251,24.731024,1805.8486,59.166668
9/6/2019 2:00:00 PM,640.00146,10.683202,25.572681,1408.6656,60
9/6/2019 3:00:00 PM,1397.8274,10.665222,24.359219,2234.0042,60
9/6/2019 4:00:00 PM,1043.945,10.56003,24.365633,1859.7916,60
9/6/2019 5:00:00 PM,1465.8713,10.608722,23.868368,2282.6611,60
9/6/2019 6:00:00 PM,917.2732,10.71685,23.713667,1727.9756,60
9/6/2019 7:00:00 PM,1417.2598,10.67316,22.367043,2250.325,60
9/6/2019 8:00:00 PM,1054.4119,10.8141165,21.430346,1885.2705,60
9/6/2019 9:00:00 PM,1451.9156,10.322242,21.137753,2244.7673,60
9/6/2019 10:00:00 PM,920.125,9.531461,20.316765,1614.2374,60
9/6/2019 11:00:00 PM,297.17682,9.404958,19.426222,845.7054,53.716667
9/7/2019 12:00:00 AM,261.0952,8.971203,18.470865,684.0216,47.783333
9/7/2019 1:00:00 AM,218.44655,8.999989,18.02808,295.90723,23.016666
9/7/2019 2:00:00 AM,0,8.883397,15.896619,0,0
9/7/2019 3:00:00 AM,332.204,8.827612,16.387001,230.55885,14.2
9/7/2019 4:00:00 AM,0,8.955715,15.187169,0,0
9/7/2019 5:00:00 AM,307.6978,8.835699,15.262063,153.51826,9.933333
9/7/2019 6:00:00 AM,373.3235,9.789379,17.164944,517.9651,28.55
9/7/2019 7:00:00 AM,1252.2946,9.698228,19.46798,1960.1893,60
9/7/2019 8:00:00 AM,1606.3887,9.637674,20.433693,2288.0872,60
9/7/2019 9:00:00 AM,1259.2971,9.746939,21.67689,2007.5712,60
9/7/2019 10:00:00 AM,1572.7146,9.992745,22.58737,2295.2925,60
9/7/2019 11:00:00 AM,1349.3435,10.7020645,23.417814,2188.7048,60
9/7/2019 12:00:00 PM,887.77515,10.854292,24.394339,1709.36,60
